TEST4[common.dll ccad817a]20:47:19[23-8820726e]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:04:15[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:11:19[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:16:08[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:20:55[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:28:11[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:33:52[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:42:05[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:42:41[23-493d9a12]
Tester1[..\data\equipment\weapon_equip.ini 51610e40]21:43:39[23-493d9a12]
Amaterasu[..\data\equipment\goods.ini 64363ee7]21:58:46[23-894f6c5d]
Amaterasu[..\data\equipment\weapon_good.ini 3335f0c7]21:58:46[23-894f6c5d]
Amaterasu<3>[..\data\equipment\goods.ini 64363ee7]22:06:40[23-894f6c5d]
Amaterasu<3>[..\data\equipment\weapon_good.ini 3335f0c7]22:06:40[23-894f6c5d]
Amaterasu<3>[..\data\equipment\goods.ini 64363ee7]22:06:43[23-894f6c5d]
Amaterasu<3>[..\data\equipment\weapon_good.ini 3335f0c7]22:06:43[23-894f6c5d]
Amaterasu<2>[..\data\equipment\goods.ini 64363ee7]22:07:29[23-894f6c5d]
Amaterasu<2>[..\data\equipment\weapon_good.ini 3335f0c7]22:07:29[23-894f6c5d]
